Threshold,Precision,Recall,F1-score
0.1,0.8799881761749926,0.9867417964865761,0.9303125
0.11,0.885680261982733,0.9860788863109049,0.9331869510664994
0.12,0.890119760479042,0.9854159761352337,0.9353468617272298
0.13,0.8960216998191681,0.9854159761352337,0.9385951065509076
0.13999999999999999,0.9008790542588663,0.9850845210473981,0.9411019632678911
0.14999999999999997,0.904138770541692,0.9847530659595625,0.9427256861811836
0.15999999999999998,0.9071188512068439,0.9840901557838913,0.9440381558028617
0.16999999999999998,0.9101502606562404,0.9837587006960556,0.9455240522459382
0.17999999999999997,0.9120811558561328,0.98342724560822,0.9464114832535885
0.18999999999999995,0.9143033292231812,0.9830957905203845,0.9474524836288133
0.19999999999999996,0.9167955459325704,0.9824328803447133,0.94848
0.20999999999999996,0.9175704989154013,0.9814385150812065,0.9484304932735426
0.21999999999999995,0.9195402298850575,0.9811070599933709,0.949326491340603
0.22999999999999995,0.922069825436409,0.9804441498176997,0.9503614457831325
0.23999999999999994,0.9260883181960539,0.9801126947298641,0.9523349436392915
0.24999999999999992,0.9274725274725275,0.9791183294663574,0.9525959367945824
0.2599999999999999,0.9277411247251021,0.9787868743785217,0.9525806451612904
0.2699999999999999,0.9283244262810437,0.9787868743785217,0.9528880283962569
0.2799999999999999,0.9303498266624646,0.9784554192906861,0.9537964458804523
0.2899999999999999,0.9318181818181818,0.9784554192906861,0.9545675020210186
0.29999999999999993,0.9350237717908082,0.9777925091150149,0.9559300064808814
0.30999999999999994,0.9362107267534117,0.9777925091150149,0.956549935149157
0.3199999999999999,0.9379573655742921,0.9771295989393437,0.9571428571428572
0.32999999999999985,0.9385546004457179,0.9771295989393437,0.9574537187398506
0.33999999999999986,0.9421540428251838,0.9771295989393437,0.9593231369996745
0.34999999999999987,0.9430217669654289,0.9764666887636725,0.9594528578407425
0.3599999999999999,0.9436078180070491,0.9761352336758369,0.9595959595959596
0.3699999999999999,0.9438922731644758,0.9758037785880014,0.9595827900912647
0.3799999999999999,0.9447833065810594,0.9754723235001658,0.9598825831702544
0.3899999999999999,0.9459807073954984,0.9751408684123302,0.9603394809858006
0.3999999999999998,0.947181964573269,0.9748094133244946,0.960797125122509
0.4099999999999998,0.9474871134020618,0.9748094133244946,0.9609540924685509
0.4199999999999998,0.9484037407287972,0.9748094133244946,0.9614253023864008
0.4299999999999998,0.949628672909267,0.9748094133244946,0.9620543016028786
0.43999999999999984,0.951472015528955,0.9748094133244946,0.9629993451211526
0.44999999999999984,0.9526588845654993,0.9738150480609877,0.963120799868874
0.45999999999999985,0.9535714285714286,0.9734835929731521,0.9634246350664261
0.46999999999999986,0.955743573055646,0.9734835929731521,0.9645320197044335
0.47999999999999976,0.9566775244299675,0.9734835929731521,0.9650073928043371
0.48999999999999977,0.9569752281616688,0.9731521378853165,0.9649958915365653
0.4999999999999998,0.9575994781474233,0.9731521378853165,0.9653131678448135
0.5099999999999998,0.9585238406270411,0.9728206827974809,0.9656193452870538
0.5199999999999998,0.95913697286695,0.9724892277096453,0.9657669519420672
0.5299999999999998,0.9594373568858358,0.9721577726218097,0.9657556799473165
0.5399999999999998,0.9603668522764494,0.9718263175339742,0.9660626029654036
0.5499999999999998,0.9612987864873729,0.9714948624461386,0.9663699307616221
0.5599999999999997,0.9619297669839186,0.9714948624461386,0.966688654353562
0.5699999999999997,0.9619172685489166,0.971163407358303,0.9665182253010061
0.5799999999999997,0.9625123314699112,0.9701690420947962,0.9663255199735886
0.5899999999999997,0.9628167160250082,0.9698375870069605,0.9663143989431968
0.5999999999999998,0.9634507737899243,0.9698375870069605,0.9666336306574166
0.6099999999999998,0.9634266886326195,0.9691746768312893,0.9662921348314607
0.6199999999999998,0.9643446682073291,0.9681803115677826,0.9662586834270592
0.6299999999999997,0.9659166115155526,0.9675174013921114,0.9667163437655241
0.6399999999999997,0.9665452136469029,0.9671859463042758,0.9668654738237243
0.6499999999999997,0.96684350132626,0.9665230361286046,0.9666832421680756
0.6599999999999997,0.96684350132626,0.9665230361286046,0.9666832421680756
0.6699999999999997,0.9674850696748507,0.9665230361286046,0.9670038136295805
0.6799999999999997,0.9687603855101362,0.966191581040769,0.9674742781281115
0.6899999999999997,0.969061876247505,0.9655286708650977,0.9672920471525818
0.6999999999999996,0.9693639693639694,0.9648657606894265,0.967109634551495
0.7099999999999996,0.9696666666666667,0.9642028505137554,0.9669270400531826
0.7199999999999996,0.96996996996997,0.9635399403380842,0.966744263385434
0.7299999999999996,0.9705882352941176,0.9625455750745774,0.9665501747378932
0.7399999999999997,0.970893275342924,0.9618826648989062,0.9663669663669664
0.7499999999999997,0.9715433545363241,0.9618826648989062,0.966688874083944
0.7599999999999997,0.9725201072386059,0.9618826648989062,0.9671721379770039
0.7699999999999997,0.9728370221327968,0.9615512098110706,0.9671611935322554
0.7799999999999997,0.9734810339039947,0.961219754723235,0.9673115410273516
0.7899999999999996,0.973781512605042,0.9602253894597282,0.9669559412550067
0.7999999999999996,0.9750673854447439,0.9592310241962214,0.9670843776106934
0.8099999999999996,0.9763593380614657,0.9582366589327146,0.9672131147540983
0.8199999999999996,0.9766655393980386,0.9572422936692079,0.9668563776364245
0.8299999999999996,0.9769881556683587,0.9569108385813723,0.9668452779638312
0.8399999999999996,0.977311208940061,0.9565793834935367,0.9668341708542714
0.8499999999999996,0.9776195320447609,0.9555850182300298,0.9664767013074087
0.8599999999999995,0.9779511533242876,0.9555850182300298,0.9666387259010897
0.8699999999999996,0.9786005434782609,0.9549221080543586,0.9666163395403455
0.8799999999999996,0.9792446410343655,0.9539277427908518,0.9664204163868368
0.8899999999999996,0.9805659734060689,0.9532648326151807,0.9667226890756303
0.8999999999999996,0.9812094294499487,0.9519390122638383,0.9663526244952894
